series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import,Unnamed: 0,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
54357,Inu to Shounen,ONA,1,0,1,2024-03-04,2024-03-04,,3,,0,Completed,,0,,LOW,"Vim assistir pela curiosidade, e é impressionante o que a inteligência é capaz de fazer hoje (Não em termos de texto, porque isso ainda está bem incipiente). Não sei o motivo da Netflix ter excluído isso do seu catálogo.",0,0,1,default,0,,,,,,,,,,,
39938,Inu-Ou,Movie,1,0,1,2023-12-15,2023-12-15,,9,,0,Completed,,0,,LOW,"💎: Esse filme junta tudo que eu não gosto, musicais e apresentações espalhafatosas, mas ele é tão belo e a melodia encaixa tão bem com as cenas que eu fiquei hipnotizado até o fim. Para os amantes de música esse filme é um deleite, o prato pri",0,0,1,default,0,,,,,,,,,,,
249,InuYasha,TV,167,0,167,0000-00-00,0000-00-00,,4,,0,Completed,,0,,LOW,Ao mesmo tempo que possui ótimos episódios divide tempo com outros desnecessariamente enrolados,0,0,1,default,0,791.0,TV,7.85,792.0,220.0,"Oct 16, 2000 to Sep 13, 2004",['Sunrise'],167.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural']","['Historical', 'Mythology', 'Time Travel']",Shounen
52830,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",TV,13,0,13,2024-07-05,2024-07-08,,2,,0,Completed,,0,,LOW,"Difícil viu, difícil... Os caras até tentaram passar a mensagem clássica ""Quem vê cara não vê coração"" mas acho que o efeito foi quase o oposto kkkkkkkk.",0,0,1,default,0,,,,,,,,,,,
44524,Isekai Meikyuu de Harem wo,TV,12,0,12,0000-00-00,2022-09-21,,3,,0,Completed,,0,,LOW,"De alguma forma completamente maluca a parte do Isekai é o menor dos problemas, até funcionando surpreendentemente de forma razoável, a questão é que tudo vira desculpa para regredir aos instintos mais básicos da humanidade",0,0,1,default,0,,,,,,,,,,,
49220,Isekai Ojisan,TV,13,0,13,2023-04-17,2023-04-17,,5,,0,Completed,,0,,LOW,"Completamente estupido e muito criativo, realmente uma forma bem diferente de se apresentar um isekai",0,0,1,default,0,,,,,,,,,,,
51219,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,TV,12,0,12,2023-05-27,2023-06-23,,1,,0,Completed,,0,,LOW,"Parece que foi algo criado somente para o autor expressar seu fetiche em sua irmã, intankavel. A única coisa que presta é o encerramento",0,0,1,default,0,,,,,,,,,,,
52367,Isekai Shikkaku,TV,12,0,9,2024-07-09,0000-00-00,,6,,0,Watching,,0,,LOW,,0,0,1,default,0,,,,,,,,,,,
55848,Isekai Suicide Squad,TV,10,0,10,2024-06-26,2024-08-15,,4,,0,Completed,,0,,LOW,"Decepcionante, não tem outra forma de colocar isso. Um potencial desperdiçado por uma história sem brilho e uma escolha de elenco estranha, honestamente acho que só a Harley e o Pacificador se salvam.",0,0,1,default,0,,,,,,,,,,,
35203,Isekai wa Smartphone to Tomo ni.,TV,12,0,12,0000-00-00,0000-00-00,,1,,0,Completed,,0,,LOW,"""Isekai wa Smartphone to Tomo ni Sinônimo: Genérico, sem alma, podre"" ""Dicionário""",0,0,1,default,0,,,,,,,,,,,
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,TV,12,0,9,2024-07-07,0000-00-00,,3,,0,Watching,,0,,LOW,,0,0,1,default,0,,,,,,,,,,,
54449,Ishura,TV,12,0,2,2024-01-03,0000-00-00,,1,,0,Dropped,,0,,LOW,"Por ser passione eu vim assistir, mas é impossível, eles não sabem fazer um anime sério",0,0,1,default,0,,,,,,,,,,,
